Gene ID,Gene symbol,Enzyme,UniProt,Enzymatic reactions
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,19-oxo-testosterone[c] + 2 H+[c] + O2[c] => H2O[c] + estradiol-17beta[c] + formate[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"11,14,15-theta[c] <=> 11h-14,15-EETA[c] + H2O[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"1,2-dibromoethane[c] + H+[c] + NADPH[c] + O2[c] => 2-bromoacetaldehyde[c] + H2O[c] + NADP+[c] + hydrobromic acid[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 14,15-EET[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[r] + NADPH[r] + O2[r] + linoleate[r] => 9(10)-EpOME[r] + H2O[r] + NADP+[r]
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"23S,25,26-trihydroxyvitamin D3[m] + O2[m] => 25-hydroxyvitamin D3-26,23-lactol[m] + H2O2[m]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"FADH2[c] + O2[c] + arachidonate[c] => 5,6-EET[c] + FAD[c] + H2O[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 7-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"15(S)-HPETE[c] <=> 15H-11,12-EETA[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + estradiol-17beta[c] => 2-hydroxyestradiol-17beta[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"24-oxo-1alpha,25-dihydroxyvitamin D3[m] + H+[m] + NADPH[m] + O2[m] => 24-oxo-1alpha,23,25-trihydroxyvitamin D3[m] + H2O[m] + NADP+[m]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,19-oxoandrostenedione[c] + 2 H+[c] + O2[c] => H2O[c] + estrone[c] + formate[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 11-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 8,9-EET[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 9-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,H+[m] + NADPH[m] + O2[m] + cholesterol[m] => 22beta-hydroxycholesterol[m] + H2O[m] + NADP+[m]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"4-androstene-3,17-dione[c] + 2 H+[c] + O2[c] => 19-hydroxyandrostenedione[c] + H2O[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"FADH2[c] + O2[c] + arachidonate[c] => 14,15-EET[c] + FAD[c] + H2O[c]"
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,H+[m] + NADPH[m] + O2[m] + vitamin D3[m] => H2O[m] + NADP+[m] + calcidiol[m]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 16(R)-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + linoleate[c] => 9(10)-EpOME[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,19-hydroxytestosterone[c] + 2 H+[c] + O2[c] => 19-oxo-testosterone[c] + 2 H2O[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 5,6-EET[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"24-oxo-1alpha,25-dihydroxyvitamin D3[c] + H+[c] + NADPH[c] + O2[c] => 24-oxo-1alpha,23,25-trihydroxyvitamin D3[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"6,7-dihydro-5-oxo-LTB4[r] + H+[r] + NADPH[r] <=> 6,7-dihydro-LTB4[r] + NADP+[r]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 18-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"5beta-cholestane-3alpha,7alpha,12alpha,27-tetraol[c] + H+[c] + NADPH[c] + O2[c] => 5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"5-oxo-(6E)-12-epi-LTB4[m] + H+[m] + NADPH[m] <=> 6,7-dihydro-5-oxo-12-epi-LTB4[m] + NADP+[m]"
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"23s,25-dihydroxyvitamin D3[m] + H+[m] + NADH[m] + O2[m] => 23S,25,26-trihydroxyvitamin D3[m] + H2O[m] + NAD+[m]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"6,7-dihydro-5-oxo-LTB4[m] + H+[m] + NADPH[m] <=> 6,7-dihydro-LTB4[m] + NADP+[m]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,19-hydroxyandrostenedione[c] + 2 H+[c] + O2[c] => 19-oxoandrostenedione[c] + 2 H2O[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[r] + NADPH[r] + O2[r] + estrone[r] => 16alpha-hydroxyestrone[r] + H2O[r] + NADP+[r]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 13-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"FADH2[r] + O2[r] + arachidonate[r] => 14,15-EET[r] + FAD[r] + H2O[r]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"11h-14,15-EETA[c] <=> 15(S)-HPETE[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"5-oxo-(6E)-12-epi-LTB4[c] + H+[c] + NADPH[c] <=> 6,7-dihydro-5-oxo-12-epi-LTB4[c] + NADP+[c]"
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"5beta-cholestane-3alpha,7alpha,12alpha,27-tetraol[m] + H+[m] + NADPH[m] + O2[m] => 5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol[m] + H2O[m] + NADP+[m]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 8-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,H+[c] + NADPH[c] + O2[c] + vitamin D3[c] => H2O[c] + NADP+[c] + calcidiol[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"4-bromophenol[c] + H+[c] + NADPH[c] + O2[c] => 4-bromophenol-2,3-epoxide[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + linoleate[c] => 12(13)-EpOME[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"FADH2[r] + O2[r] + arachidonate[r] => 8,9-EET[r] + FAD[r] + H2O[r]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 10-HETE[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"NADPH[c] + O2[c] + calcitetrol[c] => 24-oxo-1alpha,25-dihydroxyvitamin D3[c] + H+[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[r] + NADPH[r] + O2[r] + linoleate[r] => 12(13)-EpOME[r] + H2O[r] + NADP+[r]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[c] + NADPH[c] + O2[c] + estrone[c] => 16alpha-hydroxyestrone[c] + H2O[c] + NADP+[c]
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"25-hydroxyvitamin D3-26,23-lactol[c] + O2[c] => 25-hydroxyvitamin D3-26,23-lactone[c] + H2O2[c]"
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"25-hydroxyvitamin D3-26,23-lactol[m] + O2[m] => 25-hydroxyvitamin D3-26,23-lactone[m] + H2O2[m]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"FADH2[r] + O2[r] + arachidonate[r] => 5,6-EET[r] + FAD[r] + H2O[r]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"6,7-dihydro-5-oxo-LTB4[p] + H+[p] + NADPH[p] <=> 6,7-dihydro-LTB4[p] + NADP+[p]"
ENSG00000130649,CYP2E1,Oxidoreductases,P05181,"NADPH[m] + O2[m] + calcitetrol[m] => 24-oxo-1alpha,25-dihydroxyvitamin D3[m] + H+[m] + H2O[m] + NADP+[m]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"FADH2[r] + O2[r] + arachidonate[r] => 11,12-EET[r] + FAD[r] + H2O[r]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 11,12-EET[c] + H2O[c] + NADP+[c]"
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,H+[r] + NADPH[r] + O2[r] + retinoate[r] => 18-hydroxy-all-trans-retinoate[r] + H2O[r] + NADP+[r]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,2 H+[c] + O2[c] + testosterone[c] => 19-hydroxytestosterone[c] + H2O[c]
ENSG00000130649,CYP2E1,unspecific monooxygenase,P05181,"FADH2[c] + O2[c] + arachidonate[c] => 8,9-EET[c] + FAD[c] + H2O[c]"
ENSG00000131771,PPP1R1B,protein-serine/threonine phosphatase,Q9UD71,H2O[c] + phosphoprotein[c] => Pi[c] + [protein][c]
ENSG00000133083,DCLK1,non-specific serine/threonine protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,Fas-activated serine/threonine kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,Goodpasture-antigen-binding protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,IkappaB kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,cAMP-dependent protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,cGMP-dependent protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,protein kinase C,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,Ca2+/calmodulin-dependent protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,polo kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,cyclin-dependent kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,mitogen-activated protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,mitogen-activated protein kinase kinase kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,receptor protein serine/threonine kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,dual-specificity kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,mitogen-activated protein kinase kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,non-specific serine/threonine protein kinase,O15075,ATP[c] + protamine[c] => ADP[c] + O-phosphoprotamine[c]
ENSG00000135679,MDM2,ubiquitin-protein ligase,Q00987,ATP[c] + [protein]-L-lysine[c] + ubiquitin[c] => AMP[c] + PPi[c] + [protein]-N-ubiquityllysine[c]
ENSG00000136807,CDK9,non-specific serine/threonine protein kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,Fas-activated serine/threonine kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,Goodpasture-antigen-binding protein kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,IkappaB kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,cAMP-dependent protein kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,cGMP-dependent protein kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,protein kinase C,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,Ca2+/calmodulin-dependent protein kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,polo kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,cyclin-dependent kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,mitogen-activated protein kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,mitogen-activated protein kinase kinase kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,receptor protein serine/threonine kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,dual-specificity kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000136807,CDK9,mitogen-activated protein kinase kinase,P50750,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,non-specific serine/threonine protein kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,Fas-activated serine/threonine kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,Goodpasture-antigen-binding protein kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,IkappaB kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,cAMP-dependent protein kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,cGMP-dependent protein kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,protein kinase C,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,Ca2+/calmodulin-dependent protein kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,polo kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,cyclin-dependent kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,mitogen-activated protein kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,mitogen-activated protein kinase kinase kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,receptor protein serine/threonine kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,dual-specificity kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000138696,BMPR1B,mitogen-activated protein kinase kinase,O00238,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000140443,IGF1R,receptor protein-tyrosine kinase,P08069,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000140443,IGF1R,non-specific protein-tyrosine kinase,P08069,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000140443,IGF1R,dual-specificity kinase,P08069,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000140443,IGF1R,mitogen-activated protein kinase kinase,P08069,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 16(R)-HETE[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 7-HETE[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 8,9-EET[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + trichloroethene[c] => H2O[c] + NADP+[c] + chloral[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,19-hydroxytestosterone[c] + 2 H+[c] + O2[c] => 19-oxo-testosterone[c] + 2 H2O[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"FADH2[c] + O2[c] + arachidonate[c] => 8,9-EET[c] + FAD[c] + H2O[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"5-oxo-(6E)-12-epi-LTB4[r] + H+[r] + NADPH[r] <=> 6,7-dihydro-5-oxo-12-epi-LTB4[r] + NADP+[r]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,19-hydroxyandrostenedione[c] + 2 H+[c] + O2[c] => 19-oxoandrostenedione[c] + 2 H2O[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + benzo[a]pyrene[c] => H2O[c] + NADP+[c] + benzo[a]pyrene-9,10-oxide[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"15(S)-HPETE[c] <=> 15H-11,12-EETA[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[r] + NADPH[r] + O2[r] + linoleate[r] => 9(10)-EpOME[r] + H2O[r] + NADP+[r]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"6,7-dihydro-5-oxo-LTB4[r] + H+[r] + NADPH[r] <=> 6,7-dihydro-LTB4[r] + NADP+[r]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"7,12-dimethylbenz[a]anthracene[c] + H+[c] + NADPH[c] + O2[c] => 7-hydroxymethyl-12-methylbenz[a]anthracene[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[r] + NADPH[r] + O2[r] + retinoate[r] => 18-hydroxy-all-trans-retinoate[r] + H2O[r] + NADP+[r]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"7,12-dimethylbenz[a]anthracene[c] + H+[c] + NADPH[c] + O2[c] => 7,12-dimethylbenz[a]anthracene 5,6-oxide[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + benzo[a]pyrene[c] => H2O[c] + NADP+[c] + benzo[a]pyrene-4,5-oxide[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"FADH2[c] + O2[c] + arachidonate[c] => 14,15-EET[c] + FAD[c] + H2O[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"5-oxo-(6E)-12-epi-LTB4[m] + H+[m] + NADPH[m] <=> 6,7-dihydro-5-oxo-12-epi-LTB4[m] + NADP+[m]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"1,1-dichloroethylene[c] + H+[c] + NADPH[c] + O2[c] => 1,1-dichloroethylene epoxide[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"FADH2[c] + O2[c] + arachidonate[c] => 11,12-EET[c] + FAD[c] + H2O[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"6,7-dihydro-5-oxo-LTB4[m] + H+[m] + NADPH[m] <=> 6,7-dihydro-LTB4[m] + NADP+[m]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 17-HETE[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"11,12,15-THETA[c] <=> 15H-11,12-EETA[c] + H2O[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,19-oxoandrostenedione[c] + 2 H+[c] + O2[c] => H2O[c] + estrone[c] + formate[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 14,15-EET[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,2 H+[c] + 2 NADPH[c] + 2 O2[c] + trichloroethanol[c] => 3 H2O[c] + 2 NADP+[c] + trichloroacetate[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"FADH2[r] + O2[r] + arachidonate[r] => 5,6-EET[r] + FAD[r] + H2O[r]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + benzo[a]pyrene-7,8-diol[c] => H2O[c] + NADP+[c] + benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + trichloroethene[c] => H2O[c] + NADP+[c] + TAG epoxide[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"5-oxo-(6E)-12-epi-LTB4[c] + H+[c] + NADPH[c] <=> 6,7-dihydro-5-oxo-12-epi-LTB4[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + retinoate[c] => 18-hydroxy-all-trans-retinoate[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 13-HETE[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 8-HETE[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"FADH2[r] + O2[r] + arachidonate[r] => 11,12-EET[r] + FAD[r] + H2O[r]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + naphthalene[c] => (1S,2R)-naphthalene 1,2-oxide[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"4-androstene-3,17-dione[c] + 2 H+[c] + O2[c] => 19-hydroxyandrostenedione[c] + H2O[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[r] + NADPH[r] + O2[r] + estrone[r] => 16alpha-hydroxyestrone[r] + H2O[r] + NADP+[r]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + linoleate[c] => 9(10)-EpOME[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + benzo[a]pyrene[c] => H2O[c] + NADP+[c] + benzo[a]pyrene-7,8-oxide[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + estradiol-17beta[c] => 2-hydroxyestradiol-17beta[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"6,7-dihydro-5-oxo-LTB4[c] + H+[c] + NADPH[c] <=> 6,7-dihydro-LTB4[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + naphthalene[c] => (1R,2S)-naphthalene 1,2-oxide[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"9-hydroxybenzo[a]pyrene[c] + H+[c] + NADPH[c] + O2[c] => 9-hydroxybenzo[a]pyrene-4,5-oxide[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,19-oxo-testosterone[c] + 2 H+[c] + O2[c] => H2O[c] + estradiol-17beta[c] + formate[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 5,6-EET[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"1-nitronaphthalene[c] + H+[c] + NADPH[c] + O2[c] => 1-nitronaphthalene-7,8-oxide[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"6,7-dihydro-5-oxo-LTB4[p] + H+[p] + NADPH[p] <=> 6,7-dihydro-LTB4[p] + NADP+[p]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 11,12-EET[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + linoleate[c] => 12(13)-EpOME[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 18-HETE[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"1,1-dichloroethylene[c] + H+[c] + NADPH[c] + O2[c] => 2,2-dichloroacetaldehyde[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"FADH2[c] + O2[c] + arachidonate[c] => 5,6-EET[c] + FAD[c] + H2O[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 11-HETE[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,H+[c] + NADPH[c] + O2[c] + estrone[c] => 16alpha-hydroxyestrone[c] + H2O[c] + NADP+[c]
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"H+[c] + NADPH[c] + O2[c] + trans-3,4-dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene[c] => (1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol[c] + H2O[c] + NADP+[c]"
ENSG00000140465,CYP1A1,unspecific monooxygenase,P04798,"1,1-dichloroethylene[c] + H+[c] + NADPH[c] + O2[c] => H2O[c] + NADP+[c] + chloroacetyl chloride[c]"
